country;percentage
India;a. 0,91%
New Zealand;b. 1,6%
Turkey;c. 2,54%
Thailand;d. 2,59%
Japan;e. 4,39%
Australia;f. 4,62%
Germany;g. 8,99%
Korea;h. 9,08%
China;i. 12,13%
USA;j. 26,55%
Italy;k. 26,6%
